Restaurant Name,Restaurant ID
Sushi Club,616d3feeab109b1dc376ef86
BATBUT Ziraoui,686bd11d4555266312850c5b
BATBUT Oasis,686bcf217ff4b489a33b80c8
Tacos de Paris,6808b8ee860ec6031796fd13
Tacos de Paris,6808ba8672540c0a8442db5e
Tacos de Paris,6808bb7ed883fea42df152b6
Le petit italien Darb,68bd74f271bb5d9149db619f
Le petit italien Gauthier,68bd76646002795514a12c73
Le petit italien Bouskoura,68bd91c4cc16019081891598
Culinaire Major,68b961b9f8bc3ca703733e9d
le Nautilus,68aee6f8f74608ab5ff9e2b1
We Do Burgers,68c2ea436f5f691e8e5be772
Di Capri,68d00e7aca30a069123c1836
We Salad,658d42664f34bd42534db718
batbout,659bbf2b6f9017a543438cbd
pinchos label'gallery,653148c2873be34c2363d191
pinchos ryad square,637cd1fb5e3f407eb7285b44
le rôti,678fc14d396782865ec9a385
So delicious,68fdd7f91289dad180c3ec22
911 ORIGINAL,6907315b80c787de3755a686
Dupond Chocolate Coffee - Maarif,69105694f04538e71ec9f42b
Dupond Chocolate Coffee - Ghandi,691051e4b0620ca0f6af66e3
Dupond Chocolate Coffee - Marina,6910599e4dfe93f792fe09b4
Big Mado Bourgogne,68d3f57ae1ccaf11f22c1bea
Big Mado Marjane Mall,68d3d88b936b50144c7680d5
Big Mado Ain chok,68d50cb677cbdde3b44bc3fd
Le Roissant,"69abee81222a6e5ce8c0568
"
Di Capri,"68dd3d62d81da873b473bfc8"
We Salad,"658d42664f34bd42534db718"
Tahiri Belvedere,69f36478dcb7aa0fe4819464
Tahiri Biranzarane,69f35906dcb7aa0fe4810d6a
Tahiri Chicken,69f37864bc6c2976c59cded5
dar tahiri,69f36ef2f5655b742d485e5e
Just Eat,69de183bf1262c7753fc6dd1
The Box Maitre Pizzaiolo,69e627dd09b4ec241aacad64
La Barquette Gourmande,69dcc686bae1a1d5eed27346
Happy Fork,
Belati Brunch & Coffee,6a0590c0b4d6eb0954761191
latido burger,6925c8b032b1c1e973cc5b95
Primos Chicken Agdal,679a35bd86328c303a375770
Primos Chicken Riyad,679a3a8440c2ce86bb9a47be
