Restaurant Name,Restaurant ID
Rawabe Halab,69ca52f06a2e78ebbbe94fbe
Joana Food,69c90f344f8f8ed4e51216bf
Shawarma Avenue - Ovillage,6a0ebb9ea3b3cfe900f760bc
Shiru Sushis - Thaï & Woks - 2,6a0d7cbd6aaaf76280078f66
Taxim,6a05a035b4d6eb0954762970
Bachandi,6a0482de3455e667eff71c81
Quick Pizza,6a033f8a4ef184e06eeefa72
Koul & Chill,69f7265276224fa25168c4e0
Bocadillo Factory Gueliz,69f3304ebc6c2976c598e5a3
Viet Garden,69f229d602e2b295caf2035a
Tasty Burger,6a0dcf2cb9d3fca3ac66852d
Tacos Y Pizza,69c9038e96d3d9c9ffd2523f
Sushi Dose,69ef483229746b54f023ba10
Donato Fabio,69d8efdf815929e4f57d50d0
PASTRY FADMA,69ea29499bc08c69a8bbf475
Pasta Lova,6a0f1ec0015920e614b38e66
DR CHEF,66c74396c932fe64d3eef4d7
anbar resataurant,6a0ec70ee402c683aeda4c7c
Stripsy,69f3149c7fc83ef6788a384e
Bombay,69e345e85202659e59ba24c7
Papay Jus,691dd7c73c900aea163f4252
Iwa Sushi,69e4b6c2a6c6449812d59058
Yam Yam,69da65897b3474bdd7f5d3e0
Kyo Sushi,69db5c0a21300d39174ef194
capriso glacier - bachkou,6a04497b1fdb959c02d56def
Dc Chicken,69de4c6866302e6e772299cc
KARMA,69da540273b1b30af092a6c5
New Terminal,69da21e67b3474bdd7f525ff
Sora Sushi,69d6644ceb5cea80eefad711
Le Petit Fumé,6a29397120ab8f58cef3c4e1
Ghasan Coffee,69d8e9d08f1d4e580fbf740a
Crispy Corner,69de5a60e04c4f99cb72d913
TAK SUSHI,69d67627eb5cea80eefb3661
CHICKEN CHIC,675b1649aa405e1b34c22ffa
ESPER FOOD,69d5132b13fe47d6396c1a9c
Dream vert,69abf4cc222a6e5ce8c05a97
Anour,69f86d8cc2c8d5944ef07685
Golden Plaza City,69f7572676224fa2516a807a
Bamboo Fusion - Bourgogne,652e55193b414d5a064dc6c9
12 Cool,633ae76f1b7a534150378951
Chickon,69d9468309e9faf61b745b43
Daily Fresh,6a1eb488abbcd14a93de9288
Yama Sushi,618bde2ecb8815e0538eb9ef
Farouji-Maarif,6a03363b41ff7cfda4d71879
Bocadillo Factory Al izdihar,69f328c9dcb7aa0fe47df960
Mr Beef,69e376fed5bfe04f5767eea2
Rouh El Fajr Beldi,69e78aac4b1c1953624ec28f
S tacos Carrefour Temara,69f721d0c2c8d5944ee21d2e
bambou d'afrique,651d2621f86042aa79743dae
Bamboo Fusion - Oulfa,69d52a590da13912eeeb422f
Noony Coq,6a0c81b5b2bfdad9c66d2fa7
blj ain sebaa,6a047891b4d6eb09546e3d65
BLJ 2 Mars,6a0485f5b4d6eb09546e8301
Farouji-Ain Sebaa,6a0333114ef184e06eeed5cf
Farouji-2Mars,6a03345514b7512ef6bef681
Chawarma Canaan,69e34f13b560dd447662d0ef
Donuts Factory - Casa,6a0c33d1cebe8dd320f6c123
Chicken Amine - Ain Sbaa,6a03047e4ef184e06eed7ad7
Giovanni House,5e7c766d1238b00001dede67
Krousty Klub,69e8e1411b71e11c7aa154ea
Dar Tahiri,69f36ef2f5655b742d485e5e
STREET PIZZA,6597c04b7ef32073f1a4f6c4
