Restaurant Name,Restaurant ID
Happy Rolls,61a5e138690ba8327511a47d
Tacos Beldi,69884718b957bfc3933a8a21
Route 66 Eateries,6571df7b27c7eb2b7d9834ca
Burger Boom,66be2c5c4230686d4208654f
Beldi Box,6981ca5d49d978910b324676
Bsquare Gauthier,68cfeeb4994ef9c7b7b4e71f
Bayt Chiwae بيت الشواء,6491a1e5635d8d9e577fd13c
Lil Beirut,66c21883b2e9689e0a46dd59
O'Point Pizza Au Four A Bois,6479d048ae979f908fc69442
Restaurant H24,61d2d3584ebca28d5f4ac200
Cuisine H24,6593d95ab0c97413eecf7d8e
Breakfast & Coffee Shop H24,658e8a1cdfe41345afb1afdc
Restaurant Le Buffet,659e8cf07f1d2f4f208710e8
Cuisine Le Buffet,659e8e6868446a4eda02db40
Breakfast& Coffee shop  Buffet,659e916a26a7bc50570183ab
Cuisine Gala,65a62d779f500bd1a6fe40c9
Gala Restaurant,65a62cb9f3edbfe3b14dd49c
Breakfast& Coffee Shop Gala,65a5515787ff355116cf4a28
Capanna,6523ba9fb63b3319c666bfb1
Addawk Ashami,6772acc6272b95077c0b6ac4
Restaurant Mister Chakib,694abc001254b3e0f4af7f53
Asmak Baha,64340f9ce3f66f911b2eb30c
O'Tacos Salé,66fd196ac9613be3c1c83079
Oued Edahab,66e30f9512929c80d4f7df6c
Breaky,67a39b299d1e4ad796874e5a
Every Day,65dc598843de0d746b4ff094
La Place 14,650819c322221b03cf3f384d
Salade Bar,652026d6f915780a9805159b
Fast & Delicious,662b6b041a21bf980dbbc63c
Chez El Ouazzani,673c8e91c4b8f16c121c413a
Batbout Mima,68c7d77dc591f78cfbb94505
Food 78,6980aaf385322eed87665dec
Adelis,663dff4f42751a000dc009fe
Pergola,65533638ece9ac3b7cfce6bd
Tramonto D'Oro,6486e51822537f50ca4e9990
Chez Ouazzani,67c30ce945897608e0a8c3f0
Dar El Mansour,698473c1f2ae39dbdeba4642
Coin Délices,66e405c9cf14eec99fff23cf
Deux Délices,6405a8eefaa2e228034f2041
Espace Anssari,631065984ca7b9ab3e416877
Qaouti House,665dc1425096c881222fffb8
Fifties Diner,69e5f45409b4ec241aa9f8e1
Boutairi Food,63d7d4d8f89820849718fd89
Fast Food Panda,672a462b48c6570a8fd382e8
Stripsy,69f3149c7fc83ef6788a384e
Krousty Klub,69e8e1411b71e11c7aa154ea
Coq Chef,65b771feaf6cd9376d7a08e9
Cozy Café Pâtisserie,66571538a4ef410b352bf9d6
Pâtisserie Oualid,65eeef98029e2f6103366ae0
El Grandée Tacos,665eec4f058e8b75e4df9a2c
Valdi Divce,681b3d5aca8d78a4c065a40e
Beldi Cook,6978875648aa67a8fabd7d99
Maragato,63b596d88e47d7540320073a
Poke House,65cf2adbe8cda836550184a2
Turkish Chef,61c5b0c30a61261eed82dffa
Bling Bling Chicken,6895e175d6476cceef150d0b
Mam'S Pasta,66c3620cc33cfd1ede33e4ab
Wik Wik,680603ca218ab2f6732ad242
Chicken Avocado,65201cbe05284f234e22e6fb
Zayna,658009372bce8c84c0560db7
Les Tomates,644900337cb2b781872e8aba
Snack Taha,64be7f34f317101175d91831
Food Stop,68dbc2dd840c71ebf4e1b889
Aregato,69e2164caa3096095d9fec3b
Arzak,6694e9643f3b864499997a07
Soul Pur,64a533befbc781535a3051a1
Mega Viande,698203accab7b603318a58ef
Rafa Food,696f612bc990a01ae57e61a9
Foodmood,687f6525fa2415f485a48915
Fries Crunchy,69281a5932a5c222ea9ea7fb
44 Brunch,68109995665ae6bea6f7f819
Grills Baba Ali,66e2c75e9f2649eef61297fb
I Want Crispy,650813102020392bf9d4ff90
Pâtisserie Fennich,6065da4a508d879d975ba460
Pizza Boujemaa,64918e90d35ce2e5a9c0034a
Brother'S Store,6825f6fd994ef0bb97d46fd0
El Chico Gusto,64a54e1174cd837ea76a3749
Zeste,6981c6268436a30d9a506572
Patisserie Casabianca,65d85dd89b11c01608d69d3b
Cafe Patisserie Shazine,65cb783f19bf76448387b01d
Snack For You,6479c1b180b95e24acb94b96
Karma,69da540273b1b30af092a6c5
Snack Chadly Grillades,6a0ec1d0477199b2b4b343e0
Pomod'Oro,6731dcf09ffbb6a925790859
Snack Mouad,637b5972a8036e2aec1bed8c
Mister Cool,63eca42aec70df5c151ad2a4
Samraa Boutique,691998ac5e38b71155c2ca42
Palmier Mabrouka,6925d0fb6a060c99a19bea8f
Snack Mabrook,647475613325290d6a44e8d3
Myo Fusion Asiatique,68d95845cb009e1c81e1102a
Lecheria Mango,6650453cd7a8b7f1ca52e8d8
Spécial Burger,66755c29cf9e2bce240fa43c
Pescara,63f724a3b6e63315bac3f424
Atlas Sushi,67236fd326fd660f62e0831d
Crêperie Monalisa,6087eea5b5de586187f694a3
Amazonico,65cf3f32d2aa704020357589
Us Vape,6740592bc0a0cbfe2618b37e
Yama Sushi,618bde2ecb8815e0538eb9ef
Three Cups,68936ab1f88d5dbb5df90532
Tayebat Cham,6a0ed09843f924f991729662
Eatopia Food,6a0db369ce1300fc900f3574
Bocadillos A 48,67f6524cbb8706feb6d81350
Dar Larita,650c499044f1d83642886de4
Bocadillos Castillejos,6914a65bdce9559d6b096098
Sushi Youzar Témara,638f16474445bfc95c5e0148
Mondial Jus,6984568ab7c25d875de2f108
La Panda Ice,68ad945a4f32e9636960c26a
Yam Yam,69da65897b3474bdd7f5d3e0
12Cool,6971f394a016baffe7011bae
Cappuccino De Fes,6925c5148b43764df21380cc
Le Petit Coin Barbecue,652d0136b1f1c8df077c7046
