Restaurant ID,Restaurant Name,Segment
6a0453d98a7868dc7fc4a871,Chez Chef Naoufal,Rising Star
679a35bd86328c303a375770,primos chicken agdal,Rising Star
679a367c88d389898e9f38b6,primos chicken ocean,Rising Star
679a381b9ba13a8e45afaa92,Primos Chicken Kénitra,Rising Star
679a3968c31409a36cc49f7d,Primos Chicken Salé,Rising Star
679a3a8440c2ce86bb9a47be,primos chicken riyad,Rising Star
679a3b9c8c99cf0d27866710,primos chicken caroussel,Rising Star
679a3c7c0baef770bbae9cc6,primos chicken - centre,Rising Star
679a3d5588d389898e9f78ef,primos chicken temara,Rising Star
679a3ea7bd430db3d7cd8b35,primos chicken massira,Rising Star
6991a5e974f73c9a24ee03ac,primos chicken casa,Rising Star
65c34071bb74e43f56883797,Le Regalium,Rising Star
69105efc751071f75b5e367e,OKenzo Sushi,Rising Star
675c274f2d9fd33ad7bcab1c,TacoDel Magic,Rising Star
63872b981442d5ab831c8611,Pizza Friends,Rising Star
63f72a389e7485704be0b515,Achkid Food,Rising Star
692ebbbe11c428f54a618078,Snack M9ila,Rising Star
621f8b2068cbe665cde545c3,Shawarma Istanbul,Rising Star
691b237ab795aa615f76a642,Poca Bite,Rising Star
64be7cc0da7d573d182602df,Mamma Pizza,Rising Star
691d869e63c01d45fd90cbd6,La Main Delice,Rising Star
682495133027eb7dbaf79281,Clémentine juice,Rising Star
689387566d75037852d7a525,Athletic Pizza,Rising Star
689387566d75037852d7a525,Athletic Pizza,Rising Star
6655ae30b0d283427464c742,dream donuts & coffee - maarif,Rising Star
66570cbcebdc29dbbce7164a,dream donuts & coffee,Rising Star
66570d5ae8782b5028658198,dream donuts & coffee - qods,Rising Star
67fd0991898f5d38833b57c9,Tacos Arrahma,Rising Star
696c09b80af45c66521d4131,Family Food,Rising Star
65a8e1810ead7c7bfa036848,Yaquot ECHAM,Rising Star
68dd3bd3b04591071e7f2dfc,Restaurant Nadi,Rising Star
694ab48e6010281c62c63d96,Mqila 9anboula,Rising Star
6479c8dbfc43121f6ae26ab2,SNACK CHAAB,Rising Star
5fbb97b0bdc8795d18e5c809,mitsuki agdal,Rising Star
685920253e92a1339854f5ef,mitsuki  - carrousel,Rising Star
67a61a44789a9ea7289d113a,Brandizzo,Rising Star
681093f4665ae6bea6f7d740,Raihani Food,Rising Star
686546ff1a694e6f8336842f,babek - lgv,Rising Star
68654912e5eacaf5ecf037e6,babek - riad,Rising Star
68654a24be5458104ee007a7,babek - abtal,Rising Star
68654ce9a024fb0be690222f,Ayamek Ya Cham Salé,Rising Star
68654d9144a93e7fb5eec0f8,ayamek ya cham rabat,Rising Star
68ee7275346b642bdad2bf44,Traffic Burger,Rising Star
676bc97625c550225780ba26,SHAWARMA ABOU FADI PALESTIAN,Rising Star
6464975411f888f202bd06c4,RESTAURANT PRIMO ATALS,Rising Star
65d5d78068232f08140f9239,Le Port,Rising Star
6490151803eba0d7d6407716,Snack Alwaha,Rising Star
6233408278cdd19378c6d9d1,moskova,Rising Star
650d633caee361a3805ad16a,moskova -  petit déj,Rising Star
62347b0fd21cd4cfd48e0f5c,moskova - sweets,Rising Star
678e15a7692b591195831fb8,Happy italy,Rising Star
678e1358d7e5e7105e471baa,Le Smash,Rising Star
66b49a37686304444ca1eb00,Bouchées Africaine,Rising Star
6942beeed30689f358b0aa7a,Event sushi,Rising Star
679cdc414805d89ad3cc4383,CHICKEN HOME,Rising Star
63f728af31b554595696de27,Pizzeria 255,Rising Star
65b3706ae251eb35e4fae881,chouf l'or restaurant,Rising Star
65b375dd1abd745c46658059,chouf l'or breakfast & coffee,Rising Star
679a015978f2ae8b81cea024,BOCADILLOS TANJAOUI,Rising Star
620cd69145be844f4cc76999,Lendy's,Rising Star
60410f56adfb3837326227a0,Chef Calamar,Rising Star
67498d1ee0295758e8449870,Take Eat,Rising Star
6194ff2446bce67bd1713e9d,Kebab Istanbul,Rising Star
69394e6ecd8ef700af5057e9,Mahfoud,Rising Star
5e7b2dd59579b30001073b0b,Don Bocadillo Maarif,Rising Star
68ef75b6793468201ac3da52,Kechwa,Rising Star
67a9daa411ff1d69484b1c18,di villaggio,Rising Star
67a9daa411ff1d69484b1c18,di villaggio,Rising Star
6925c8b032b1c1e973cc5b95,Latido Burger,Rising Star
67bc81edfd2f822cc8dd59c3,La Concorde,Rising Star
64a54d26a6e608cb34b56a78,Pasta Bistro,Rising Star
63590b88ee6d99e4ebf37041,Hanaa Food - Californie,Rising Star
6731e64d1c357583a9e2e70a,Restaurant Symphony,Rising Star
68bd74f271bb5d9149db619f,le petit italien darb,Rising Star
68bd76646002795514a12c73,le petit italien gauthier,Rising Star
